Brand;Type;Layer;Normal exposure time;Off time;Bottom exposure;Bottom layers;Reported by;Temp (C);Comments;Comment 2
Druckwege Typ D;Grey;0,05;18;1;80;6;Philippe Maegerman;;it smells in the house after 5 hours print, this is not acrylic based resin, it is epoxy, so different bad smell ...;
Druckwege Typ D Pro;Grey;0,05;11;1;80;6;Pawel Drogowski;;;
Formlabs;V4 Clear;0,04;28;1,5;120;8;Craig B;;Some prints did work at 22s normal exposure, but a larger print consistently failed until I upped it to 28s.;
Fun To Do;Castable;0,03;10;2;60;5;Alex Polo;;;
Fun To Do;Clear;0,05;10;1;50;5;Michel Mas;;;
Fun To Do;DB;0,04;15;2;60;8;Michael Lippert;;okish, still slightly undercured;NEW!
Fun To Do;DB;0,05;15;2;60;8;Michael Lippert;;slightly undercured;NEW!
Fun To Do;Deep Black;0,04;11;1;100;8;Adrian Ciobanu;;The resin is less viscous than the one of anycubic. The printer needs to be recalibrated for a smaller tolerance.;
Fun To Do;Industrial Black;0,03;10.5;1;50;8;Flint Read;;;
Fun To Do;Industrial Black;0,04;6;1;20;5;Toby Kirkby;;;
Fun To Do;Industrial Black;0,04;10.5;1;50;8;Artur Fuste;;Changed from 11,2,50,8;
Fun To Do;Industrial No Colour;0,01;8;2;35;8;Joseph Anderson;;;
Fun To Do;Industrial Red;0,025;10;1,5;30;8;ƒ??Marcos Martinez Garciaƒ??;;;NEW!
Fun To Do;Industrial Red;0,04;9;2;60;8;Michael Lippert;;excellent;
Fun To Do;Industrial Red;0,04;12;2;50;8;Flint Read;;;
Fun To Do;Industrial Red;0,05;15;2;60;8;Michael Lippert;;slight overcure;
Fun To Do;Industrial Snow White;0,025;8;1;90;6;Philippe Maegerman;20;;
Fun To Do;Industrial Snow White;0,07;11,5;1;50;8;Flint Read;;no noticeable smell while printing, constant temperature 22¶§C;NEW!
Fun To Do;Industrial Unpigmented;0,05;10;2;50;6;Philippe Maegerman;;;
Fun To Do;Standard Red;0,04;12;2;50;8;Artur Fuste;14;Not all tests completed, very hard to cure...;
HARZ Labs;MODEL Black;0,04;13;1;60;8;Mika Mannonen;;;
HARZ Labs;MODEL Black;0,05;13~21;1;60;8;Artur Fuste;22;Tests still in progress, but works with these settings;
HARZ Labs;MODEL Cherry;0,04;17~18;1;50;8;Artur Fuste;24-25;;
HARZ Labs;MODEL Sand;0,05;16~20;1;60;8;Artur Fuste;25;;
MakerJuice;G+ Red;0,05;35;2;90;8;Jeremy Lauzon;;;
Monocure;3D Clear;0,05;20;1;50;5;Michel Mas;;;
Monocure;Black;0,05;7;1;80;3;Sean Latto;;;
Monocure;Rapid;0,025;12;1;110;5;Flint Read;24;I am getting good results in very small prints;
Monocure;Rapid Black;0,05;12;1;50;4;Philippe Maegerman;;;
Monocure;Rapid Blue;0,05;15;1;60;5;Sean Latto;;;
Monocure;Rapid Clear;0,025;9,7;1,5;65,5;8;Sante Boscolo Chio;;;
Monocure;Rapid Clear;0,03;18;1;60;5;Bo NÇ÷rgaard;21;;NEW!
Monocure;Rapid Clear;0,04;12;2;60;6;Philippe Maegerman;;;
Monocure;Rapid Clear;0,05;11;1;60;5;Walter Meremianin;;;
Monocure;Rapid Clear;0,05;12;1;60;5;Philippe Maegerman;;;
Monocure;Rapid Clear;0,05;12.5;1;80;8;Waldek Wasilewski;;;
Monocure;Rapid Grey;0,05;8;1;60;5;Philippe Maegerman;;;
Monocure;Rapid Grey;0,05;11;1;40;8;Nicolas Dafnis;;;NEW!
Monocure;Rapid Grey;0,1;12;1;60;5;Philippe Maegerman;;Auto support medium;
Monocure;Rapid Gunmetal Grey;0,04;12;1;110;5;Josh Suyemoto;;the resin definitely works better if pre warmed;NEW!
Monocure;Rapid Gunmetal Grey;0,05;8;8;60;5;Fred Williams;29.4;;
Monocure;Rapid Red;0,05;7,5;1;50;10;Robert Klein;;;
Monocure;Rapid White;0,04;11;2;65;4;Justin Berry;;;
Monocure;Rapid White;0,05;14;1;60;5;Matt Gleason;;my basement which is pretty cold so I gave it a little more cure time ;
Monoprice;White;0,05;10;1;50;6;Jeremy Lauzon;22-24;"Not really impressed with this resin. None of the prints had a ""wow"" factor. It's been difficult to find an exposure that cures enough, but retains finer details. Also, it yellows in post-cure - very ugly, but if painting, not a big deal.";
NextDent;Cast ;0,05;17;1;60;3;Constanta Hudema;;;
Nova3D;Black;0,04;8;1;60;8;Jon Weger;;;
Nova3D;Clear;0,04;8;1;60;8;Jon Weger;;;
Nova3D;Grey;0,1;12;1;80;9;Caleb Kekahbah;;;NEW!
Nova3D;White;0,04;10;6,6;60;8;Jay Sterling;;;
Photocentric;Flex Rouge/Red;0,05;55;1;75;5;Michel Mas;;;
PhotoCentric 3D;Firm Red;0,025;27;1;120;8;Philippe Maegerman;;Shared by my friend Johnson Yeh. This resin is a dream to work with, no IPA, cleaned with water and soap;
PhotoCentric 3D;Firm UV Black;0,04;20~23;1;70;8;Mario Kaufmann;;Mind your support! Better more than less - tends to warp a bit. Support is easily removable.;
PhotoCentric 3D;Firm UV Clear;0,04;15~18;1;70;8;Mario Kaufmann;;Mind your support (30-50%). Support is easily removable. I used mid settings and worked out ok.;
PhotoCentric 3D;Flex Clear;0,04;18~20;1;50;12;Mario Kaufmann;;A bit smelly, but can be filtered with active coal if installed. Use soapy water solution to clean.;
PhotoCentric 3D;Hard Red;0,05;32;1;80;8;Philippe Maegerman;;;
Senerteck;;0,03;10;3;60;5;;;;NEW!
Wanhao;Black;0,05;8;2,8;65;15;Sean Latto;;;
Wanhao;Blanc/White;0,025;16;6.5;90;8;ƒ??Marcos Martinez Garciaƒ??;;;
Wanhao;Blanc/White;0,05;15;1;50;5;Michel Mas;;;
Wanhao;Clear;0,05;15;1;50;8;Garret LaBerge;;;
Wanhao;Green;0,05;7;4;50;8;David Lambert;;;NEW!
Wanhao;Grey;0,025;12;2;65;15;Brian Casey;;;
Wanhao;Grey;0,05;15;1;55;8;Fred Williams;;;
Wanhao;Noir/Black;0,05;18;1;50;5;Michel Mas;;;
Wanhao;Noir/Black;0,05;18;3;60;8;Jose Salas;;;
Wanhao;Red;0,03;10;2;60;8;ƒ??Daniel Ignacio Perez;;;
Wanhao;Yellow;0,04;12;2;65;5;Nonnef Thandaius;;have to double the supports as it seems stickier than some of the other brands.; 

